slug,colorCode,type,number,name,ciConstitutionNumber,alternateNames,composition,description,transparencyRatingCode,lightfastRatingCode,toxicity,notes
cobalt-arsenate-77350,V,ETC,,Cobalt Arsenate,77350,"Arsenate of Cobalt;
 Cobaltous Arsenate;
 Cobalt Arsenate [HO.o]; 
 Cobalt Arsenic Oxide;
 Cobalt Bloom*;
 Cobalt Crust*;
 Cobaltous Arsenate;
 Cobalt Violet;
 Cobalt Violet Light [HOd];
 Cobaltaustinite;
 Cobaltite;
 Erythrite*;
 Red Cobalt Ochre*;
 Roselite;
 Tricobalt diarsenate;
 Vivianite Arsenate of Cobalt;
 Zaffre**","Cobalt (II) Arsenate; 
 Anhydrous cobalt arsenate;
 Cobalt Arsenic Oxide (Pigment Compendium, Ref);
 Cobaltous arsenate occurs in nature as cobalt bloom or erythrite. see Cobalt Violet , Light @ CAMEO art materials database.
 * Natural Mineral Erythrite (Mineral Ref), (Mineral Ref);
 Roselite (Mineral Ref); 
 ** Zaffre is an early alchemy substance of impure cobalt arsenate;
 Co3(AsO4)2
 CAS 24719-19-5","Pale Reddish to medium purple;
 non-staining with weak tinting strength",T,I,D,"""Synthetically produced in 1880, it became an important permanent, violet pigment. Cobaltous arsenate is now rarely used because of its toxicity."" see Cobalt Violet , Light @ CAMEO art materials database.
 ** it is absolutely permanent and transparent but has little tinting power. 
 It has some use as an artists' oil and water color pigment"" (Ref Color index 3rd Ed., V.4, Inorganic colorants CI 77350)
 *** Extremely Poisonous due to it's arsenic component. 
 Avoid dust and spray, always wear a NIOSH certified dust mask when working with the dry powder, do not spray under any circumstances.
 Do Not ingest.
 Avoid skin contact.
 Keep away from children & pets.
 All paints containing cobalt require a PROP 65 warning label in CA."
copper-violet-77432,V,ETC,,Copper Violet,77432,"Copper Violet;
 Guyard's Violet","Cupric potassium ferrocyanide, Prepared by heating the precipitate of copper ammonium sulfate and potassium ferrocyanide at 170°C (Ref The Manufacture of Mineral and Lake Pigments (1901) By Josef Bersch)",Blue Violet,O,X,B,"""a violet pigment having a great covering power"" (Ref Color index 3rd Ed., V.4, Inorganic colourants CI 77432)"
violet-hematite,V,ETC,,Violet Hematite,,"Blood Stone;
 Blue Ridge Violet Hematite [NP.p]; 
 Bruno Inglese;
 Caput Mortem;
 Caput Mortum;
 Caput Mortuum; 
 Colcothar;
 Colore Morello;
 Corpum Mortum;
 Côte d'Azur Violet [DS.w];
 Hematite;
 Mummy Violet [NP.p];
 Pigment Red 102; 
 Vetriolo Romano Bruciato;
 Vetriolo Cotto;
 Violet Hematite [DS.w | NP.p];",Violet Hematite (Ref); Natural Iron Oxide,Light violet to deep dark violet,S/O,I,A,
folium,V,ETC,,Folium,,"Biseth of Folium;
 English Woad;
 Folium;
 Trapilo Blue;
 Trapito Blue;
 Turnsole;
 Turnsole Violet;
 Heliotrope",Lake extract from the fruit of the Turnsole or Heliotropum Plant,Reddish to Bluish Violets,T,IV,A,Can change color due to PH similar to litmus; Has been used in manuscript illumination
han-purple,V,ETC,,Han Purple,,"China Blue;
 Chinese Purple;
 Han Blue;
 Han Purple [KP.p];",Barium copper silicate;,Vivid purple,T,I,A,Being studied by physicists for it's Quantum behavior. (Ref)
manganous-phosphate-77745,V,ETC,,Manganous Phosphate,77745,Manganous Phosphate,Manganous phosphate,-,X,X,,
purple-sugilite,V,ETC,,Purple Sugilite,,"Royal Azel;
 Royal Lavulite;
 Royal Purple Sugilite; 
 Purple Turquoise;
 Luvulite;
 Gem Sugilite;
 Royal Lazelle;
 Sugilite Genuine* [DS.w];",Semi-precious gem: Potassium Sodium Lithium Iron Manganese Aluminum Silicate.; (Ref),Deep reddish purple**,X,X,A,"Little info of it's use as a pigment is available. Can be attained from some sources for use in cosmetics;
 *more info on the Dan Smith PrimaTek™ artist paints and other mineral pigments use for art at the watercolor Handprint.com site;
 ** seems to lighten the finer it is ground."
purpurite,V,ETC,,Purpurite,,"Iron Manganese Phosphate;
 Pigment Violet 16;
 Purpurite [KP.p];
 Purpurite Genuine* [DS.o.w]","Mostly Manganese (III) Phosphate may have impurities of iron; Natural form of Pigment Violet 16 probably without as much processing (Ref), (Ref), (Ref)",Pink to deep reddish violet,S/O,I,B,"Rare mineral (Ref);
 * more info on the Dan Smith PrimaTek™ artist paints and other mineral pigments use for art at the watercolor Handprint.com site"
silver-chromate-77825,V,ETC,,Silver chromate,77825,"Purple Red;
 Silver Chromate","Silver chromate: Precipitate silver nitrate with potassium chromate (Ref Inorganic Coloring Matters, Color Index 3rd Ed.)",Reddish purple,X,X,,
vesuvianite,V,ETC,,Vesuvianite,,"Xanthite;
 Vesuvianite [KP.p]",Metamorphic mineral; Complex iron-manganese-silicate; (Ref),light dull purple,X,I,A,
aerinite,B,ETC,,Aerinite,,"Aërinita;
 Aerinite;
 Aerinite;
 Erinite","A light blue clay mineral occasionally used as a pigment, it has been found in Andorran murals dated to 1163. It is resistant to chemicals, heat, and light (Ref: Boston Fine Arts CAMEO Art Materials Database); 
 (Ref Mineralat mindat.org); 
 (Ref Aerinite Mineral Data);
  (Ref Mineral Handbook);",Light Blue,X,I,,
apatite-blue,B,ETC,,Apatite (Blue),,"Apatit (Deut.);
 Apatite;
 Apatito (Esp.);
 Blue Apatite
 Blue Apatite Genuine [DS.w];
 Cobalt Violet Hue [SCH.o];
 Fluorapatite;
 Moroxite
 Phosphorite;","Apatite is a group of phosphate minerals, usually referring to hydroxylapatite, fluorapatite and chlorapatite, (Ref: wikipedia); (Ref: webminerl.com); (Ref:CAMEO Art materials Database at boston MFA);","translucent green or greenish blue, less often colorless, yellow, blue to violet, pink or brown",X,I,A,Lots of pics in a google image search for blue apatite here
azurite-77420,B,ETC,,Azurite,77420,"Armenian Stone**;
 Azul Ceniza;
 Azure Spar;
 Azurita;
 Azurite;
 Azurite (coarse grade) [NP.p];
 Azurite-Deep Blue [KP.p];
 Azurite-Deep, Very Fine [KP.p];
 Azurite (fine grade) [NP.p];
 Azurite GUNJYOU [KP.p];
 Azurite Genuine [DS.w];
 Azurite-Greenish Grey-Blue [KP.p];
 Azurite MP Deep [KP.p];
 Azurite MP exclusive [KP.p];
 Azurite MP, extra deep [KP.p];
 Azurite MP greenish light [KP.p];
 Azurite MP Pale [KP.p];
 Azurite Natural [KP.p];
 Azurite-Standard [KP.p];
 Azurite-very fine [KP.p];
 Azurro;
 Azurium Citramarinum;
 Azzurrite;
 Biadetto;
 Bice;
 Blue Ashes;
 Blue Bice;
 Blue Mountain;
 Blue Verditer;
 Bremen Blue;
 Bremer Blue?;
 Cendre Bleu;
 Cendres Blue;
 Coeruleum;
 Copper Blue;
 Copper Glaze;
 Lapis Armenius;
 Lapis Azurite [OH];
 Mountain blue;
 Neuwied Blue;
 Pigment Blue 30;
 Zuni Blue;
 see Pigment Blue 30","Natural basic carbonate of copper, Hydroxo copper carbonate; 
 Blue Verditer and bice is synthetic basic copper carbonate.
 (Ref KP); (Ref NP); (Ref Natural Pigments);
 ** Armenian Stone (Ref info at MFA Boston);
 Azurite (Ref info at MFA Fine Arts Boston);
 Making Azurite info at webexhibits.org",Bright blue to greenish blue,T,I,B,"* Lightfast in artist paints but affected by acids and atmospheric Sulfur. May sometimes darken or become greenish in oil binders. (Ref);
 Courser grades are deeper blue getting lighter the smaller the particle size. (Ref)."
cavansite,B,ETC,,Cavansite,,"Cavansite, extra fine [KP.p];","Cavansite;
 Hydrated Calcium Vanadium Silicate (Reference at webminerals galleries);
 Cavansite gemstone (Reference and pictures);
 Calcium vanadium silicate",light pale greenish blue ocean blue,X,X,,
copper-blue,B,ETC,,Copper Blue,,"Blue Copper [KP.p];
 Copper Blue [KP.p];
 Koperblauw [KP.p];","Tricopper (II) Phosphate;
 Copper phosphate;
 Phosphoric acid copper salt;
 CAS 7798-23-4",Very light greenish blue,X,X,B,
cupric-hydroxide-77404,B,ETC,,Cupric Hydroxide,77404,"Bremen Blue;
 Cupric Hydroxide","Cupric hydroxide;
 Copper hydroxide;
 Cuprous hydroxide;
 Copper monohydroxide;
 CAS 20427-59-2",-,X,X,B,
han-blue-han-purple,B,ETC,,"Han Blue/ 
 Han Purple",,"Blue Barium Copper Silicate;
 Barium Copper Frit;
 Chinese Blue;
 Chinese Magenta;
 Han Blue;
 HAN-Blue, fine [KP.p];
 HAN-Blue Deep [KP.p];
 Han Purple [KP.p];",Pulverized Ceramic; Barium copper silicate,Deep reddish blue to purple Blue,T,I,B,Similar to Egyptian Blue PB 31
kinoite,B,ETC,,Kinoite,,"Hydrated Calcium Copper
 Silicate;
 Kinoite","Natural Hydrated Calcium Copper Silicate (Ref Mineral), (Reference at mindat.org)",light azure blue,T,I,B,Similar to Egyptian Blue PB31
kyanite,B,ETC,,Kyanite,,"Kyanite;
 Kyanite Genuine [DS.w];
 kyanos","Aluminum Silicate*
 (Ref), (Mineral Reference at mindat.org), (Reference at webmineral.com);
 CAS 1302-76-7",Deep blue**,T,I,A,"* Chemically similar to Lapis Lazuli
 ** Although usually blue, Kyanite can also be bright green"
lapis-lazuli-77007,B,ETC,,Lapis Lazuli,77007,"Armenian Blue;
 Armenian Stone;
 Azurrum Ultramarinum;
 Azure Spar;
 Blue Stone; 
 Fra Angelico Blue;
 Genuine Lapis Lazuli [WL.o];
 Genuine Lapis Lazuli (natural Ultramarine) [DS.ad.o.w];
 Lazurite (Lapis Lazuli) [NP.p];
 Lapis Lazuli [GEN | OH];
 Lapis Lazuli (Afghanistan, standard)1 [NP.p];
 Lapis Lazuli (Baikal, Russia)1 [NP.p];
 Lapis Lazuli from Chile [KP.p]; 
 Lapis Lazuli Genuine [GEN | DS.ad.o.w | DV.o.w];
 Lapis Lazuli, greyish-blue [KP.p];
 Lapis Lazuli (premium)1 [NP.p];
 Lapis Lazuli Oltremare;
 Lapis Lazuli, pure [KP.p];
 Lapis Lazuli, sky-blue [KP.p];
 Lapis Lazuli (standard)1 [NP.p]; 
 Lapiz Ultramarine;
 Lazuline Blue;
 Pigment Blue 29*; 
 Ultramarine [GEN];
 Ultramarine Ash;
 Ultramarinum;
 *see Ultramarine Blue PB29","Lazurite, extracted from the semi-precious stone Lapis Lazuli. (Ref Natural Pigments);
 Sodium Calcium Aluminum Silicate Sulfate (Pic of huge rocks at palagems.com); (Ref: Mindat.org);
 How lapis is purified, see Natural Pigment:  (Ref: Natural Pigments);
  Ultra-marine, means ‘from over-seas’ (Ref: Chpt.2 of The Alchemy of Paint - Ultramarine: from over the seas by Spike Bucklow);
 Lapis Lazuli (Ref at Boston Fine Arts CAMEO Art Materials Database);
 More on Ultramarine blue, natural (Ref at Boston Fine Arts CAMEO Materials Database);
 (Ref: Analysis of natural and artificial ultramarine blue pigments using laser
 induced breakdown and pulsed Raman spectroscopy, statistical analysis and
 light microscopy, © 2008 Elsevier B.V - PDF);
 Making pigments: Ultramarine at webexhibits.org;","Bright violet blue to deep blue;
 lightly staining with w/ weak tinting strength, sepends on source.",T,I,A,"Natural Mineral form of Synthetic PB29 Ultramarine Blue. It has always been and still is a very expensive pigment. Extraction from the rare semi-precious gem stone is labor intensive & time consuming;
 Often has tiny bits of iron pyrite crystals, giving soft gold sparkle in places.;
 In olden days, Ultramarine ash (what's left of Lapis after extraction of the blue) is said to have been highly prasied, as a trans. nuetral grey for glazing shadows.;
 More info on Lapis Lazuli in watercolor @ handprint.com;
 Lapis Lazuli from rock to powder
 Youtube Video on the Master Pigments YouTube Channel;
 For video of Lapis Lazuli pigment extraction. in a method based on the recipe from the book ""Il Libro dell' Arte"" by Cennino d'Andrea Cennini. See Fra Angelico Blue Pigment Extraction
 Youtube Video on the Master Pigments YouTube Channel."
manganese-oxide-blue,B,ETC,,Manganese Oxide Blue,,Manganese Oxide Blue*,"""chemists at OSU have discovered new compounds based on manganese that should address all of those concerns. They are safer to produce, much more durable, and should lead to more environmentally benign blue pigments than any being used now or in the past.""
 The intense blue pigment can be prepared by introducing manganese into other metal oxides to prepare the trigonal bipyramid structure. Among the examples are scandium aluminum magnesium oxide, lutetium gallium magnesium oxide and indium gallium magnesium oxide. Subramanian* adds, ""We needed to add 5% manganese to these oxides to generate the intense blue color."" 
 (Ref: Accidental discovery produces durable new blue pigment oregonstate.edu, 2009);
 Patent: US 8282728 B2
 Yittrium Indium Manganese Oxide;",Bright to deep blue,X,I,A,"*Not the same pigment as PB33 Manganese Blue
 ""The newest—and possibly the best—blue pigment in world history was born, due to manganese ions being structured in an unusual “trigonal bipyramidal coordination” in the presence of extreme heat.""
 (Ref: UPI.com);
 (Ref: Redorbit.com, 2009)
 * Mas Subramanian, professor of materials science at Oregon State University in Corvallis, Ore."
mayan-blue,B,ETC,,Mayan Blue,,"Azul Maya;
 Maya Blue [NP.p];
 Mayan Blue [KP.p SI.p];
 Mayan Blue Genuine [DS.w]","Copal, indigo and the clay mineral palygorskite fused by heat in clay pots creating a unique nano crystal lattice. (Ref sciencedaily.com);
 Reference more info on Mayan Blue: ""Discovering Archaeology — Decoding the Chemical Complexity of a Remarkable Ancient Paint"" from Mayan Pigments.",Greenish blue.,O,I,A,"Much more light fast than plain indigo.; Thought to be made during human sacrifice rituals (Ref nytimes.com), (Ref pubmed).;"
palomar-turquoise,B,ETC,,Palomar Turquoise,,"Aqua Blue [WM.wd]
 Palomar Turquoise","Chlorinated CU phthalocyanine 
 organic pigment",Greenish blue (Aqua Blue);,T,I,A,"Appears to have been available by Winsor & Newton as a limited edition in their Twilight range of watercolors.
 Discussion on Wetcanvas.com Forum
 Sunchemical manufactures reference (PDF)"
pentagonite,B,ETC,,Pentagonite,,Pentagonite [KP.p],"Calcium-Vanadium-Silicate; (Ref handbookofmineralogy.org), (Ref webmineral.com), (Ref mindat.org)",Light greenish blue,O,I,,
flourescent-blue-21,B,ETC,,Flourescent Blue 2:1,,"Blue Lake;
 Flourescent Blue 2:1
 Fluorescent Dull Blue;
 Process Cyan [DR.g];","Flourescent Blue;
 A lake made from a fluorescent blue dye that forms a light blue pigment that fluoresces under blue light. It is often used as as adulterant and brightener in printing inks and other paints and pigments. Often used in formulations for Azure and Cyan where light fastness is not a consideration.",Flourescent Blue 2:1,O,III,A,used as brighteners in inks and paints
ploss-blue,B,ETC,,Ploss Blue,,"Crystallized Verdigris;
 Distilled Verdigris;
 Neutral Verdigris;
 Ploss Blue;
 Purified Verdigris;
 See PG20 Verdigris","Copper calcium acetate; 
 Neutral verdigris;
 (Pigment Ref);",Light greenish blue,X,I,B,Light fast but not stable in acidic media like linseed oil.; May act as drier in oil paint
riebeckite,B,ETC,,Riebeckite,,"Blue Amphibole;
 Blue Asbestos;
 Blue Cape Asbestos;
 Blue Ochre;
 Crocidolite;
 Osannita;
 Osannite;
 Riebeckite1 [NP.p];",Asbestiform mineral; Sodium Iron Magnesium Silicate Hydroxide (Ref),Dark Blue,S/O,I,C,"Do not breath dust, a NIOSH-certified dust mask should be worn when working with the dry pigment (Ref); Contains asbestos"
sodalite,B,ETC,,Sodalite,,"Sodalite [KP.p];
 Sodalite Genuine* [DS.w];
 Sodalite SHIUN-MATSU [KP.p];",Sodium Aluminum Silicate Chloride; Mineral (Ref); (Pics),light pale violet blue to dark blue,S/T,I,A,Similar to Lapis Lazuli (Ref); * more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site.
tungsten-blue-77901,B,ETC,,Tungsten Blue,77901,"Blue Carmine;
 Blue Tungsten Oxide;
 Bright Blue Tungsten;
 Mineral Blue;
 Thessié Blue;
 Tungsten Blue;
 Tungsten Blue Oxide;
 Tungsten Oxide","Tungsten Oxide;
 Tungsten Blue Oxide (W2O3, WO3) is created by calcining Ammonium Paratungstate under reducing conditions or formed by the action of varied deoxidizing agents on tungstic acid, the exact method can be different for each manufacturer. It is not a single chemical compound, as it may consist of ammonium, hydrogen, tin, zinc, tungsten trioxide, tungsten bronzes and/or other tungsten oxides. (Ref International Tungsten Industry Association);","Dark blue-violet to bright blue, faint blue or green blue",X,X,A,"Blue tungsten oxide is used primarily for the production of tungsten metal powder and tungsten carbide. (Ref);
 Used as a Aquarelle Pigment which is stable to light and air. (Ref Concise encyclopedia chemistry By Mary Eagleson pg.1129);
 ""employed for watercolour and oil painting."" Rose (1916) (Ref Pigment Compendium, 2008, p.375);
 Used as pigment in ceramics (Ref);
 There is a chemically very similar yellow-green form of Tungsten Oxide (WO3). It is often called Yellow Tungsten Oxide, Tungsten Yellow Oxide or simply Yellow Oxide."
turquoise,B,ETC,,Turquoise,,"Azure Spar;
 Calaite;
 Chalchihuitl;
 Chalcosiderite;
 Calliana; 
 Callais;
 Faustite;
 Kingman Green Turquoise Genuine [DS.w];
 Mecca Stones;
 Sleeping Beauty Turquoise Genuine** [DS.o.w];
 Turquoise;
 Turquoise, sky-blue [KP.p];","Natural mineral turquoise; hydrous phosphate of copper and aluminium (Mindat Ref); Chalcosiderite (Ref); Faustite (Ref); (Pics); More mineral info can be found here at delminsociety.net.
 Turquoise (Ref at Boston Fine Arts CAMEO materials Database);",Green to bluish green to blue,S/T,I,A,"Semi precious stone often used for jewelry, notably by Native Americas;
 * more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site.;
 ** Sleeping Beauty Mine web site"
ultramarine-ash,B,ETC,,Ultramarine Ash,,"Ash Blue;
 Blue ashes;
 Cendres Bleues;
 Cenere d’azzurro;
 Ceneri d'azzurro;
 Mineral Gray;
 Sanders Blue;
 Saunder's Blue;
 Ultramarine Ash [KP.p | SI.p];
 Ultramarine Ashes
 see Ultramarine Blue PB29",Ultramarine Ashes (Lapis Lazuli); The remains after the best pigment has been extracted from Lapis Lazuli. It consists of mostly colorless minerals and a small amount of ultramarine. (Ref); (Ref); (Wikipedia Ref); (Pic at Kremer Pigments); (Webexhibits.org); (Sinopia Pigments Pic); (Definition); (on value as wash Ref);,Light to dull blueish gray*,S/T,I,A,"Good gray for flesh, foliage, skies and shadows on drapery (Ref) (Ref); ""high degree of transparency and was valued as a blue glazing pigment""(Ref); 
 *There are various grades from dull blue to almost completely gray."
vivianite,B,ETC,,Vivianite,,"Angelardite;
 Anglarite;
 Blue Iron Earth;
 Blue Iron Ore;
 Blue Ochre [BR | NP.o.p];
 Blue Ochre (Vivianite)** [NP.o.p];
 Angelardite;
 Anglarite;
 Glaucosiderite;
 Mullicite;
 Native Prussian blue;
 Ocre Blu;
 Ocre martiale bleue;
 Odontolite;
 Paravivianite;
 Phosphate of Iron;
 Vivianite [KP.p];
 Vivianite - Blue Ochre* [DS.w];","Hydrated Iron Phosphate
 CAS 13463-10-0","Mid to greenish dark blue sometimes with with reddish undertone
 † hue shift towards yellow (becoming greenish), may be do to chemical processes.*** 
 (Ref Natural Pigments);",S/T,I,A,"*Lightfast but may turn yellowish due to the effects of environment or other pigments; (Ref Natural Pigments);
 Vivianite pigment - the blue ocher
 Youtube Video on the Master Pigments YouTube Channel
 * more info on the Dan Smith PrimaTek™ artist paints and other minerals used for art pigments at the watercolor Handprint.com site.;
 ** More info on this pigment can be found at Natural Pigments.
 ***Color changes may be do to chemical processes (Ref Techniques of the Romanesque and Gothic wall paintings in the Holy Sepulchre Chapel, Winchester Cathedral, by Howard, 1995)"
zinc-iron-ferricyanide-77530,B,ETC,,Zinc Iron Ferricyanide,77530,"Zinc-Iron Blue;
 Zinc Iron Ferricyanide",Zinc Iron Ferricyanide,-,X,X,,
aegirine,G,ETC,,Aegirine,,"Aegirine [KP.p] ;
  Acmite;
  PG23 
  Pigment Green 23;
  see Pigment Green 23","WebMineral.com (Ref at webmineral.com); Mindat.org (Ref at 
 mindat.org);
 Wikipedia (Ref at wikipedia);;
  Chemical formula: NaFeSi2O6
 ""Aegirine is an iron containing silicate which forms elongated crystals. The particles are dark green and very hard."" (Ref: Details from Kremer Pigments);
  A Sodium Silicate in which iron is present as Fe3+ (Ref: at wikipedia).","Dark green to greenish black, reddish brown, black",X,I,B,"*transparency depends on source, crystal structure and impurities. 
  **Inhalation danger"
amazonite,G,ETC,,Amazonite,,"Amazonite;
  Amazonite HAKUSUI-MATSU [KP.p];
  Amazonite Genuine [DS.o.w];
  Amazon Jade;
  Amazon stone","Green variety of microcline feldspar, a potassium aluminum silicate (Mineral Ref);
  Amazonite (Ref at Boston Fine Arts CAMEO Materials Database);
  Color thought to be from copper, iron or lead salts (Ref Mineral Zone), (Ref).",Light green to Blue green,X,I,A,
atacamite,G,ETC,,Atacamite,,"Atacamit; 
  Atacamite; 
  Atacamita; 
  Atakamitis;
  Bronze Disease;
  Copper Oxychloride;
  Flour Patina; 
  Malignant Patina;
  Mehlpatina;
  Peste du Bronze; 
  Rogna; 
  Wild Patina;","Copper oxychloride;
  Cupric oxychloride;
  Copper hydroxychloride;
  Basic copper chloride;
 ""Copper oxychloride, better called copper hydroxychloride or basic copper chloride, Cu(OH,Cl)2, is generally made by neutralizing a strong solution of copper chloride"", Recipe for a synthetic form at Usenet archive (Ref: Tim Williams post on usenet, rec.pyro
  Atacamite (Ref at Boston Fine Arts CAMEO Materials Database);
  
  CAS 1332-65-6",Pale green to bright deep green to blackish green,X,X,B,
barium-manganate-77110,G,ETC,,Barium Manganate,77110,"Barium Manganate;
  Barium Manganate Green;
  Bottger's Green;
  Cassel Green;
  C.I. Pigment Blue 33;
  Manganese Blue;
  Manganese Green;
  Rosenstiehl's Green","Barium manganate;
  A green pigment made by heating manganese dioxide with barium carbonate or barium nitrate, also produced by precipitating manganate with barium chloride (Ref Color index 3rd Ed., V.4, Inorganic colorants CI 77110)
  CAS 7787-35-1",-,X,X,C,
celadonite,G,ETC,,Celadonite,,"Celadonite [KP.p | NP.p];
  Green Earth;
  Pigment Green 23;
  Seladonite;","Celadonite (Ref webmineral); (Ref Google Images); (Ref Mindat.org Gallery)
  A phyllosilicate of potassium, iron in both oxidation states, aluminium and hydroxide (Ref wikipedia);
  ""Celadonite is a primary component of so-called green earth, which has been extensively used as a pigment"" (Ref Pigment Compendium p.95)",Green to olive green,X,X,A,
conichalcite,G,ETC,,Conichalcite,,Conichalcite [KP.p];,"Natural mineral, Copper arsenic carbonate, on average 24,5 % copper and 28 % arsenic MSDS,
 (Ref: at webmineral.com);
 (Ref: Handbook of Mineralogy, Conichalcite.PDF);
 
 (Handbook of Mineralogy.org home site here);",-,X,X,D,
copper-green,G,ETC,,Copper Green,,"Copper Green;
  Copper Green Spinel;","Copper Green CuO on SiO2 is produced by high temperature calcination of a mixture of oxides of copper and silicon in varying amounts to Form a crystalline matrix. (Ref Color Index 4th edition);
  CAS 95046-49-4",-,X,X,,
copper-resinate,G,ETC,,Copper Resinate,,"Copper Green;
  Copper Resinate [KP.p];
  Transparent Copper Green;","copper salts of resin acids, made by combining balsams or other resins with Verdigris (Ref)
  Method of making Copper Resinate at webexhibits.org;",yellowish green,T,I,B,"May be a myth? (Ref: innovations-report.com);
 (Ref. M.H. van Eikema Hommes, ‘Interpreting historical sources on painting materials and techniques: The myth of copper resinate and the reconstruction of indigo oil paints’, in: M. Clarke, J. Townsend, and A. Stijnman (eds.), Art of the past: sources and reconstructions, London 2005, pp. 16-23.);
 (Ref: Understanding historical recipes for the modification of linseed oil, by Indra Kneepkens ©2012, p.29 , UvA-DARE, Digital Academic Repository of the University of Amsterdam - PDF)"
chromium-phosphate-77298,G,ETC,,Chromium Phosphate,77298,"Arnaudon's Green; 
 Arnaudon's Chrome; 
  Arnaudon's Chrome Green; 
  Chromium Phosphate;
  Dingler's Green;
  Mathieu-Plessy's green;
  Plessy’s Green;
  Schiitzer's Green;
  Vert Arnaudon;","Chromium phosphate;
  chromium (III) phosphate;
  phosphoric acid chromium (III) salt;
  Chromic Phosphate (Ref at Boston Fine Arts CAMEO Art Materials Databass);
 basic hydrated chromium phosphate of variable composition
 ""Several chromium phosphates can be formed, notably the various
 hydrated forms (CrPO4.xH2O).""
 Manufacturing
 variants traditionally are known as Arnaudon’s chrome
 green, Dingler’s green, Plessy’s green. and Schnitzer’s green.,
 Arnaudon’s green: calcining ammonium phosphate with potassium dichromate.
 Dingler’s green: formed from a intimate mixture or co-precipitate of calcium and chromiium phosphates.
 Plessy’s green: 'The Plessy process consists in treating a solution of bichromate with calcium biphosphate and sugar as reducing agent' (Ref: A Treatise on Colour Manufacture: A Guide to the Preparation, Examination ...
 By Georg Zerr, Robert Rübencamp, 1908, p 240-244);
 Schnitzer’s green: Treat an aqueous solution of potassium
 dichromate with sodium phosphate and tartaric acid."" (Ref: Pigment Compendium,2004, p.108);
  
  CAS 7789-04-0",-,X,X,B,
